epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.1953,2.31515,4.83176,1.53385,0.0015,0.47294,0.08659,0.02319,1.34833,12.8242,1.03709,0.00036674,0.00036674,0.00036674
2,196.256,1.99791,3.21245,1.49263,0.00141,0.37522,0.03674,0.0117,1.42784,12.3708,1.18246,0.000735297,0.000735297,0.000735297
3,414.65,1.93002,2.82925,1.47003,0.00281,0.90944,0.50341,0.16631,1.52526,9.90662,1.35762,0.00108867,0.00108867,0.00108867
4,632.82,1.97129,2.55961,1.54294,0.73878,0.55902,0.61662,0.25616,1.50413,9.53965,1.35822,0.00142686,0.00142686,0.00142686
5,853.521,1.94785,2.40357,1.52975,0.56275,0.58824,0.5261,0.2168,1.56489,8.90758,1.42786,0.00153497,0.00153497,0.00153497
6,1066.85,1.91819,2.2717,1.52334,0.53823,0.59835,0.54692,0.21847,1.5664,7.11147,1.36394,0.00150197,0.00150197,0.00150197
7,1286.29,1.94595,2.1296,1.47879,0.65134,0.6449,0.61104,0.26174,1.48373,6.49739,1.29059,0.00146896,0.00146896,0.00146896
8,1509.5,1.86029,1.93678,1.47916,0.71731,0.6449,0.66143,0.2392,1.56325,8.85682,1.37956,0.00143595,0.00143595,0.00143595
9,1728.35,1.8384,1.7978,1.47711,0.69145,0.69889,0.76298,0.30237,1.44899,4.83147,1.28715,0.00140295,0.00140295,0.00140295
10,1948.41,1.79038,1.72682,1.41959,0.81145,0.6525,0.74662,0.31564,1.45816,3.29061,1.30074,0.00136994,0.00136994,0.00136994
11,2161.12,1.80434,1.5865,1.43614,0.71993,0.72585,0.74756,0.27679,1.4924,3.53021,1.35697,0.00133693,0.00133693,0.00133693
12,2372.11,1.80704,1.52202,1.4171,0.60205,0.58766,0.55318,0.18725,1.67714,4.44539,1.44196,0.00130393,0.00130393,0.00130393
13,2585.22,1.74701,1.42274,1.40179,0.72308,0.70767,0.75027,0.3057,1.51094,3.62375,1.32288,0.00127092,0.00127092,0.00127092
14,2793.88,1.79498,1.46255,1.40613,0.8377,0.70893,0.81924,0.32875,1.46429,2.34426,1.26724,0.00123791,0.00123791,0.00123791
15,3004.53,1.76181,1.41618,1.41328,0.74671,0.78657,0.82258,0.38016,1.36792,2.29719,1.22138,0.00120491,0.00120491,0.00120491
16,3213.6,1.76287,1.41667,1.40417,0.76808,0.74352,0.81161,0.36629,1.41957,2.20082,1.25856,0.0011719,0.0011719,0.0011719
17,3418.91,1.75323,1.30193,1.39589,0.7672,0.80926,0.82547,0.35109,1.48302,1.99361,1.27699,0.00113889,0.00113889,0.00113889
18,3629.1,1.66767,1.25701,1.35138,0.797,0.66659,0.77595,0.33139,1.48366,2.0901,1.29555,0.00110589,0.00110589,0.00110589
19,3835.96,1.68829,1.28266,1.35843,0.75245,0.61203,0.7269,0.29941,1.5208,2.11428,1.27704,0.00107288,0.00107288,0.00107288
20,4042.64,1.57207,1.17865,1.28671,0.88642,0.78399,0.84922,0.37899,1.40983,1.8322,1.22375,0.00103987,0.00103987,0.00103987
21,4249.92,1.61637,1.15047,1.31921,0.83093,0.78714,0.83615,0.37667,1.38556,1.72838,1.21577,0.00100687,0.00100687,0.00100687
22,4453.52,1.64589,1.18234,1.36336,0.85808,0.77756,0.86039,0.36622,1.4533,1.77681,1.23971,0.000973861,0.000973861,0.000973861
23,4658.65,1.68954,1.19189,1.34242,0.85952,0.77498,0.84889,0.37584,1.40541,1.59342,1.23511,0.000940855,0.000940855,0.000940855
24,4867.16,1.69855,1.19889,1.36074,0.81145,0.77584,0.80473,0.35695,1.41289,1.53046,1.23184,0.000907848,0.000907848,0.000907848
25,5078.84,1.66926,1.08401,1.3262,0.80332,0.70201,0.78836,0.34337,1.44961,1.65205,1.27242,0.000874842,0.000874842,0.000874842
26,5286.49,1.62856,1.10587,1.30947,0.85072,0.77907,0.85273,0.33584,1.40535,2.42114,1.23821,0.000841835,0.000841835,0.000841835
27,5484.81,1.6415,1.11594,1.36277,0.76827,0.88062,0.83649,0.36306,1.42547,1.36037,1.20657,0.000808828,0.000808828,0.000808828
28,5695.91,1.6104,1.12959,1.33139,0.79809,0.78408,0.8193,0.34678,1.48757,1.30295,1.27523,0.000775822,0.000775822,0.000775822
29,5897.28,1.5788,1.04456,1.28235,0.84941,0.78876,0.84021,0.37252,1.44588,1.44121,1.25331,0.000742815,0.000742815,0.000742815
30,6103,1.59627,1.02759,1.27265,0.8786,0.76104,0.85028,0.38035,1.43325,1.44653,1.2496,0.000709809,0.000709809,0.000709809
31,6308.57,1.54248,1.03448,1.30813,0.92587,0.77069,0.86837,0.37784,1.38233,1.38528,1.20474,0.000676802,0.000676802,0.000676802
32,6518.52,1.58405,1.03942,1.30321,0.91807,0.84091,0.90937,0.37418,1.39803,1.24483,1.19406,0.000643795,0.000643795,0.000643795
33,6725.34,1.48825,0.97382,1.24131,0.89585,0.8305,0.90802,0.39044,1.40792,1.1921,1.21752,0.000610789,0.000610789,0.000610789
34,6933.77,1.53585,0.96827,1.26154,0.88066,0.82089,0.88244,0.39152,1.40307,1.2557,1.22159,0.000577782,0.000577782,0.000577782
35,7143.87,1.56147,0.952,1.28674,0.91017,0.80926,0.90536,0.38716,1.45348,1.2022,1.25935,0.000544776,0.000544776,0.000544776
36,7349.56,1.51115,0.92035,1.29101,0.88535,0.80904,0.88487,0.36787,1.50395,1.22299,1.29277,0.000511769,0.000511769,0.000511769
37,7554.93,1.55819,0.9281,1.25841,0.84896,0.80813,0.86546,0.36842,1.47211,1.26008,1.27493,0.000478762,0.000478762,0.000478762
38,7760.97,1.46674,0.92331,1.24563,0.78829,0.89982,0.88766,0.41583,1.4129,1.11755,1.21679,0.000445756,0.000445756,0.000445756
39,7967.06,1.42404,0.89096,1.1911,0.87328,0.85016,0.91209,0.42859,1.41267,1.11963,1.21739,0.000412749,0.000412749,0.000412749
40,8171.57,1.4889,0.94107,1.24395,0.90046,0.81887,0.9013,0.40821,1.42228,1.16925,1.24486,0.000379743,0.000379743,0.000379743
41,8263.3,1.43856,0.89039,1.25136,0.90932,0.80329,0.88831,0.39437,1.45417,1.19428,1.258,0.000346736,0.000346736,0.000346736
42,8452.03,1.47304,0.88196,1.29853,0.90807,0.8231,0.90444,0.41697,1.42867,1.21104,1.24738,0.000313729,0.000313729,0.000313729
43,8663.2,1.40607,0.85459,1.25308,0.92766,0.82271,0.92033,0.41376,1.43184,1.24064,1.25891,0.000280723,0.000280723,0.000280723
44,8892.6,1.38891,0.82063,1.25767,0.88062,0.84973,0.91697,0.42356,1.40667,1.22735,1.23959,0.000247716,0.000247716,0.000247716
45,9136.53,1.39203,0.80827,1.24682,0.87345,0.83319,0.9052,0.42057,1.38826,1.16242,1.23151,0.00021471,0.00021471,0.00021471
46,9363.68,1.34325,0.81984,1.23574,0.90197,0.83806,0.9137,0.42235,1.38431,1.12533,1.22883,0.000181703,0.000181703,0.000181703
47,9594.17,1.37456,0.80533,1.24136,0.86473,0.8472,0.92082,0.42676,1.38996,1.13775,1.22822,0.000148696,0.000148696,0.000148696
48,9826.4,1.38012,0.8236,1.2252,0.8745,0.84012,0.91898,0.42596,1.37944,1.10041,1.22513,0.00011569,0.00011569,0.00011569
49,10060.5,1.35917,0.82564,1.22933,0.89466,0.83309,0.92197,0.43185,1.38086,1.08562,1.22517,8.26832e-05,8.26832e-05,8.26832e-05
50,10291.4,1.33688,0.80383,1.22888,0.89806,0.81887,0.9157,0.42521,1.40109,1.09049,1.23492,4.96766e-05,4.96766e-05,4.96766e-05
